"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"1";"105073838";"0";"0";;"Luxvisage Жидкие тени для век Matt tint waterproof 12H, тон 104 Cool Taupe";;"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 06:54:13";"Тени для век";"'0.02";"'0.0";"0";"0";"0";"0";"238.00";;;;;"0%"
"2";"105073852";"0";"0";;"LUXVISAGE Жидкие тени для век Matt tint waterproof 12H, стойкие, матовые 103 Nude Beige";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 06:54:46";"Тени для век";"'0.00";"'0.0";"0";"0";"0";"0";"238.00";;;;;"0%"
"5";"105074005";"0";"0";;"LUXVISAGE Лак для ногтей Galactic с блестками, тон 206 Серебристый с глиттером";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Лак для ногтей";"'0.00";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"3";"105074006";"0";"0";;"Luxvisage Жидкие тени для век Matt tint waterproof 12H, тон 105 Ash Lilac";;"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Тени для век";"'0.02";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"8";"105074007";"0";"0";;"LUXVISAGE Лак для ногтей Galactic с блестками, тон 224 Насыщенно розовый с глиттером";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Лак для ногтей";"'0.00";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"4";"105074008";"0";"0";;"Luxvisage Жидкие тени для век Matt tint waterproof 12H, тон 106 Dusty Mauve";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Тени для век";"'0.00";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"7";"105074009";"0";"0";;"LUXVISAGE Лак для ногтей Galactic с блестками, тон 222 Розовый с глиттером";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Лак для ногтей";"'0.00";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"9";"105074010";"0";"0";;"Лак для ногтей LUXVISAGE Galactic тон 217";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Лак для ногтей";"'0.04";"'0.1";"0";"0";"0";"0";;;;;;"0%"
"10";"105074011";"0";"0";;"Luxvisage Жидкие тени для век Matt tint waterproof 12H, тон 101 Cream Beige";;"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Тени для век";"'0.02";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"13";"105074012";"0";"0";;"LUXVISAGE Румяна для лица Color Hit матовые компактные, тон 13 розовый холодный";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:54";"Румяна";"'0.12";"'0.0";"0";"0";"0";"0";;;;;;"0%"
"12";"105074013";"0";"0";;"LUXVISAGE Румяна для лица Color Hit матовые компактные, тон 14 пепельно-розовый";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-08-01 07:00:55";"Румяна";"'0.00";"'0.0";"0";"0";"0";"0";;;;;;"0%"
